joint	type	parent	child	lower	upper	effort	velocity
r_hip_x	revolute	pelvis	r_hip	-0.497418836818	0.523598775598	3.1	7.0
r_hip_z	revolute	r_hip	r_hip_motor	-1.57079632679	0.436332312999	3.1	7.0
r_hip_y	revolute	r_hip_motor	r_thigh	-1.4835298642	1.83259571459	7.3	8.2
r_knee_y	revolute	r_thigh	r_shin	-2.33874119767	0.0610865238198	3.1	7.0
r_ankle_y	revolute	r_shin	r_foot	-0.785398163397	0.785398163397	3.1	7.0
l_hip_x	revolute	pelvis	l_hip	-0.523598775598	0.497418836818	3.1	7.0
l_hip_z	revolute	l_hip	l_hip_motor	-0.436332312999	1.57079632679	3.1	7.0
l_hip_y	revolute	l_hip_motor	l_thigh	-1.81514242207	1.46607657168	7.3	8.2
l_knee_y	revolute	l_thigh	l_shin	-0.0610865238198	2.33874119767	3.1	7.0
l_ankle_y	revolute	l_shin	l_foot	-0.785398163397	0.785398163397	3.1	7.0
abs_y	revolute	pelvis	abs_motors	-0.872664625997	0.209439510239	7.3	8.2
abs_x	revolute	abs_motors	abdomen	-0.785398163397	0.785398163397	7.3	8.2
abs_z	revolute	abdomen	spine	-1.57079632679	1.57079632679	3.1	7.0
bust_y	revolute	spine	bust_motors	-1.16937059884	0.471238898038	3.1	7.0
bust_x	revolute	bust_motors	chest	-0.698131700798	0.698131700798	3.1	7.0
head_z	revolute	chest	neck	-1.57079632679	1.57079632679	1.8	10.0
head_y	revolute	neck	head	-0.785398163397	0.10471975512	1.8	10.0
l_shoulder_y	revolute	chest	l_shoulder	-2.09439510239	2.70526034059	3.1	7.0
l_shoulder_x	revolute	l_shoulder	l_shoulder_motor	-1.83259571459	1.91986217719	3.1	7.0
l_arm_z	revolute	l_shoulder_motor	l_upper_arm	-1.83259571459	1.83259571459	3.1	7.0
l_elbow_y	revolute	l_upper_arm	l_forearm	-2.58308729295	0.0174532925199	3.1	7.0
r_shoulder_y	revolute	chest	r_shoulder	-2.70526034059	2.09439510239	3.1	7.0
r_shoulder_x	revolute	r_shoulder	r_shoulder_motor	-1.91986217719	1.83259571459	3.1	7.0
r_arm_z	revolute	r_shoulder_motor	r_upper_arm	-1.83259571459	1.83259571459	3.1	7.0
r_elbow_y	revolute	r_upper_arm	r_forearm	-0.0174532925199	2.58308729295	3.1	7.0
