joint	type	parent	child	axis	lower	upper	effort	velocity
r_hip_x	revolute	pelvis	r_hip	0 0 -1	-0.497418836818	0.523598775598	3.1	7.0
r_hip_z	revolute	r_hip	r_hip_motor	0 -1 0	-1.57079632679	0.436332312999	3.1	7.0
r_hip_y	revolute	r_hip_motor	r_thigh	-1 0 0	-1.4835298642	1.83259571459	7.3	8.2
r_knee_y	revolute	r_thigh	r_shin	0 0 -1	-2.33874119767	0.0610865238198	3.1	7.0
r_ankle_y	revolute	r_shin	r_foot	-1 0 0	-0.785398163397	0.785398163397	3.1	7.0
l_hip_x	revolute	pelvis	l_hip	0 0 -1	-0.523598775598	0.497418836818	3.1	7.0
l_hip_z	revolute	l_hip	l_hip_motor	0 -1 0	-0.436332312999	1.57079632679	3.1	7.0
l_hip_y	revolute	l_hip_motor	l_thigh	1 0 0	-1.81514242207	1.46607657168	7.3	8.2
l_knee_y	revolute	l_thigh	l_shin	0 0 1	-0.0610865238198	2.33874119767	3.1	7.0
l_ankle_y	revolute	l_shin	l_foot	1 0 0	-0.785398163397	0.785398163397	3.1	7.0
abs_y	fixed	pelvis	abs_motors	None	None	None	None	None
abs_x	fixed	abs_motors	abdomen	None	None	None	None	None
abs_z	fixed	abdomen	spine	None	None	None	None	None
bust_y	fixed	spine	bust_motors	None	None	None	None	None
bust_x	fixed	bust_motors	chest	None	None	None	None	None
head_z	fixed	chest	neck	None	None	None	None	None
head_y	fixed	neck	head	None	None	None	None	None
l_shoulder_y	fixed	chest	l_shoulder	None	None	None	None	None
l_shoulder_x	fixed	l_shoulder	l_shoulder_motor	None	None	None	None	None
l_arm_z	fixed	l_shoulder_motor	l_upper_arm	None	None	None	None	None
l_elbow_y	fixed	l_upper_arm	l_forearm	None	None	None	None	None
r_shoulder_y	fixed	chest	r_shoulder	None	None	None	None	None
r_shoulder_x	fixed	r_shoulder	r_shoulder_motor	None	None	None	None	None
r_arm_z	fixed	r_shoulder_motor	r_upper_arm	None	None	None	None	None
r_elbow_y	fixed	r_upper_arm	r_forearm	None	None	None	None	None
